entity_name,default_image_id
candidate,candidates,Top 20 presidential candidates in 2016
Bernie Sanders,17
Donald Trump,18
Hillary Clinton,19
Gary Johnson,33
Ben Carson,36
Chris Christie,37
Elizabeth Warren,38
Jeb Bush,39
Jill Stein,40
Joe Biden,21
John Kasich,20
Marco Rubio,41
Michael Bloomberg,42
Mike Huckabee,43
Mitt Romney,22
Paul Ryan,23
Rand Paul,44
Sarah Palin,45
Scott Walker,46
Ted Cruz,24
