entity_name,default_image_id
empire,empires,16 largest modern empires
China,1
United States,2
India,3
Brazil,4
Indonesia,5
Japan,6
Russia,7
Germany,8
Mexico,9
Nigeria,10
France,11
United Kingdom,12
Pakistan,13
Italy,14
Turkey,15
Iran,16
