entity_name,default_image_id
country,countries,32 most populous countries
China,1
India,3
United States,2
Indonesia,5
Pakistan,13
Brazil,4
Nigeria,10
Bangladesh,82
Russia,7
Mexico,9
Japan,6
Ethiopia,83
Philippines,84
Egypt,85
Vietnam,86
DR Congo,87
Iran,16
Turkey,15
Germany,8
France,11
United Kingdom,12
Thailand,88
South Africa,89
Tanzania,90
Italy,14
Myanmar,91
South Korea,92
Colombia,93
Kenya,94
Spain,63
Argentina,48
Algeria,47
